arrondissement_residence,quartier_residence,count,coords
Douala 5,Cite des palmiers,2,"(4.0523674, 9.7636863)"
Douala 5,Cite des palmiers ,2,"(4.0896446, 9.7406433)"
Douala 5,Cité CICAM,2,"(4.051494, 9.737673)"
Douala 5,Cité SIC,13,"(4.0515877, 9.730495999999999)"
Douala 5,Cité des palmiers,12,"(4.0523674, 9.7636863)"
Douala 5,Dakar,4,"(4.042221899999999, 9.71577)"
Douala 5,Deido,4,"(4.0896446, 9.7406433)"
Douala 5,Douala,2,"(4.0896446, 9.7406433)"
Douala 5,Gare bessengue,4,"(4.0537854, 9.7115981)"
Douala 5,Kotto,23,"(4.0649375, 9.7111835)"
Douala 5,Kotto ,2,"(4.0649375, 9.7111835)"
Douala 5,Kotto- chefferie,2,"(4.0953523, 9.7568111)"
Douala 5,Logbesou,4,"(4.0945282, 9.7699599)"
Douala 5,Logbessou,10,"(4.0945282, 9.7699599)"
Douala 5,Logpom,28,"(4.0837996, 9.770657)"
Douala 5,Makepe,32,"(4.0896446, 9.7406433)"
Douala 5,Makepe ,2,"(4.0896446, 9.7406433)"
Douala 5,Makepe misoke ,2,"(4.0510564, 9.7678687)"
Douala 5,Makepe missoke,2,"(4.0605537, 9.7382479)"
Douala 5,Makèpè,2,"(4.0896446, 9.7406433)"
Douala 5,Malangue,2,"(4.0684445, 9.7601053)"
Douala 5,Ndogbom,3,"(4.0510564, 9.7678687)"
Douala 5,Ndogbong,10,"(4.056541, 9.753881)"
Douala 5,Ndogpassi ,4,"(4.020803, 9.7682576)"
Douala 5,Ndogpassi 3,2,"(4.0510564, 9.7678687)"
Douala 5,Ndongbong,2,"(4.051659, 9.7478573)"
Douala 5,New bell,10,"(4.0239746, 9.7149071)"
Douala 5,New-bell,2,"(4.0239746, 9.7149071)"
Douala 5,New-deido,2,"(4.0605043, 9.7163004)"
Douala 5,Ngangue,2,"(4.022764899999999, 9.7107273)"
Douala 5,Pk 10,6,"(4.0329159, 9.7993869)"
Douala 5,Pk 11,2,"(4.0557733, 9.779135)"
Douala 5,Pk 16,2,"(4.090371, 9.7994148)"
Douala 5,Pk10,21,"(4.0540948, 9.772569899999999)"
Douala 5,Pk10 ,3,"(4.0540948, 9.772569899999999)"
Douala 5,Pk11,8,"(4.0510564, 9.7678687)"
Douala 5,Pk12,8,"(4.0510564, 9.7678687)"
Douala 5,Pk13,4,"(4.0748924, 9.7934361)"
Douala 5,Pk14,8,"(4.0510564, 9.7678687)"
Douala 5,Pk15 ,2,"(4.0945282, 9.7699599)"
Douala 5,Pk18,4,"(4.093023899999999, 9.8078416)"
Douala 5,Pk20,2,"(4.0510564, 9.7678687)"
Douala 5,Pk23,2,"(4.0510564, 9.7678687)"
Douala 5,Pk8,13,"(4.081777, 9.7815576)"
Douala 5,Pk9,18,"(4.046520699999999, 9.7636743)"
Douala 5,Pl12,2,"(4.0510564, 9.7678687)"
Douala 5,Sable bonamoussadi,2,"(4.0891849, 9.7428407)"
Douala 5,Sic cacao,6,"(4.0563559, 9.7294343)"
Douala 5,Terminus ucb,2,"(4.035373, 9.7345547)"
Douala 5,Tradex kotto,2,"(4.0927497, 9.7521499)"
Douala 5,Village,2,"(4.0510564, 9.7678687)"
Douala 6,Bonaberi,6,"(4.090287, 9.6610134)"
Dschang,Dschang,2,"(5.4459387, 10.0471549)"
Edea,Edea,16,"(3.7977837, 10.1302701)"
Edea,Edea ,2,"(3.7977837, 10.1302701)"
Edea,Edéa ,2,"(3.7977837, 10.1302701)"
Edea,Nkong mondo,2,"(3.7977837, 10.1302701)"
Kribi,Kribi,4,"(2.9405941, 9.9101915)"
Limbe,Limbe,2,"(4.022465599999999, 9.1954432)"
Meiganga,Meiganga,4,"(6.516396599999999, 14.2919273)"
Njombe,Non précisé,2,"(-9.3731511, 34.8005067)"
Nkouabang,Nkouabang,2,"(3.366667, 12.116667)"
Non précisé,Congo,2,"(-4.038333, 21.758664)"
Non précisé,Meiganga,2,"(6.516396599999999, 14.2919273)"
Sud ouest tombel,Tombel,2,"(4.7451083, 9.6703336)"
Yaounde,Bastos,2,"(3.8741653, 11.5091779)"
Yaounde,Biyemassi,2,"(3.8407337, 11.4878714)"
Yaounde,Damas,2,"(3.8225668, 11.4861035)"
Yaounde,Mballa 2,2,"(3.8987789, 11.5253384)"
Yaounde,Mbanga,2,"(3.8616853, 11.5202292)"
Yaounde,Nkol mbong,2,"(3.9247441, 11.5402399)"
Yaounde,Nkolmesseng,2,"(3.8797492, 11.5536217)"
Yaounde,Ras,1,"(3.8616853, 11.5202292)"
Yaounde,Yaounde,8,"(3.8616853, 11.5202292)"
Yaounde,Yaoundé,6,"(3.8616853, 11.5202292)"
